arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux --sort=-%mem | awk 'NR==2 {print $2}'2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ kill -9 2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.3  22928 13884 ?        Ss   19:46   0:01 /sbin/init splash
root         231  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         232  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_28]
root         233  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         234  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_29]
root         235  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         236  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_30]
root         237  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         238  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_31]
root         239  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         263  0.0  0.0      0     0 ?        I    19:46   0:00 [kworker/u257:26-events_power_efficient]
root         264  0.0  0.0      0     0 ?        I    19:46   0:00 [kworker/u257:27-flush-8:0]
root         269  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_32]
root         270  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         330  0.0  0.0      0     0 ?        S    19:46   0:00 [jbd2/sda1-8]
root         331  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-ext4-]
root         378  0.0  0.3  67164 15780 ?        S<s  19:46   0:00 /usr/lib/systemd/systemd-journald
root         422  0.0  0.1  31140  6016 ?        Ss   19:46   0:00 /usr/lib/systemd/systemd-udevd
root         451  0.0  0.0      0     0 ?        I    19:46   0:00 [kworker/u256:1-netns]
root         454  0.0  0.0      0     0 ?        S    19:46   0:00 [psimon]
root         510  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/57-vmw_vmci]
root         511  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/58-vmw_vmci]
root         512  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/59-vmw_vmci]
root         515  0.3  0.0      0     0 ?        S    19:46   0:04 [irq/16-vmwgfx]
root         516  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-ttm]
systemd+     640  0.0  0.3  22372 13056 ?        Ss   19:46   0:00 /usr/lib/systemd/systemd-resolved
systemd+     644  0.0  0.1  91044  7168 ?        Ssl  19:46   0:00 /usr/lib/systemd/systemd-timesyncd
avahi        769  0.0  0.1   8664  4480 ?        Ss   19:46   0:00 avahi-daemon: running [KDE-ORG.local]
message+     770  0.0  0.1  12120  6912 ?        Ss   19:46   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activatio
polkitd      778  0.0  0.2 384852  9428 ?        Ssl  19:46   0:00 /usr/lib/polkit-1/polkitd --no-debug
root         782  0.0  0.1 313376  6912 ?        Ssl  19:46   0:00 /usr/libexec/power-profiles-daemon
root         794  0.1  0.4 1321440 17452 ?       Ssl  19:46   0:01 /usr/lib/snapd/snapd
root         799  0.0  0.1 313284  7168 ?        Ssl  19:46   0:00 /usr/libexec/accounts-daemon
root         800  0.0  0.0   9424  2816 ?        Ss   19:46   0:00 /usr/sbin/cron -f -P
root         808  0.0  0.1 309720  6400 ?        Ssl  19:46   0:00 /usr/libexec/switcheroo-control
root         814  0.0  0.2  18140  7936 ?        Ss   19:46   0:00 /usr/lib/systemd/systemd-logind
root         822  0.0  0.2 468996  9984 ?        Ssl  19:46   0:00 /usr/libexec/udisks2/udisksd
syslog       841  0.0  0.1 222588  4864 ?        Ssl  19:46   0:00 /usr/sbin/rsyslogd -n -iNONE
avahi        850  0.0  0.0   8476  1164 ?        S    19:46   0:00 avahi-daemon: chroot helper
root         856  0.1  0.4 336292 17792 ?        Ssl  19:46   0:01 /usr/sbin/NetworkManager --no-daemon
root         863  0.0  0.1  17376  4352 ?        Ss   19:46   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         901  0.0  0.2 392092  9088 ?        Ssl  19:46   0:00 /usr/sbin/ModemManager
root        1039  0.0  0.2  38252 11264 ?        Ss   19:46   0:00 /usr/sbin/cupsd -l
root        1055  0.0  0.6 163280 26752 ?        Ssl  19:46   0:00 /usr/bin/sddm
root        1059  0.0  1.5 342564 61056 tty2     Ssl+ 19:46   0:00 /usr/lib/xorg/Xorg -nolisten tcp -background none -seat seat0 vt2 -auth /run/sddm
cups-br+    1066  0.0  0.3 268392 14848 ?        Ssl  19:46   0:00 /usr/sbin/cups-browsed
root        1095  0.0  0.0      0     0 ?        S    19:46   0:00 [psimon]
rtkit       1120  0.0  0.0  22940  3200 ?        SNsl 19:46   0:00 /usr/libexec/rtkit-daemon
root        1167  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u260:1-ttm]
root        1168  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u260:2-ttm]
root        1179  0.0  0.6  84704 26236 ?        S    19:46   0:00 /usr/lib/x86_64-linux-gnu/sddm/sddm-helper --socket /tmp/sddm-auth-bf87dea1-efd7-
arunman+    1182  0.0  0.3  20920 12032 ?        Ss   19:46   0:00 /usr/lib/systemd/systemd --user
root        1184  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u261:4-ttm]
arunman+    1185  0.0  0.0  21424  3328 ?        S    19:46   0:00 (sd-pam)
arunman+    1196  0.0  0.2 107576 10956 ?        S<sl 19:46   0:00 /usr/bin/pipewire
arunman+    1197  0.0  0.1  89636  4864 ?        Ssl  19:46   0:00 /usr/bin/pipewire -c filter-chain.conf
arunman+    1198  0.0  0.3 406464 14592 ?        S<sl 19:46   0:00 /usr/bin/wireplumber
arunman+    1201  0.0  0.3 189852 12788 ?        S<sl 19:46   0:00 /usr/bin/pipewire-pulse
arunman+    1206  0.0  0.1  10288  5760 ?        Ss   19:46   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-
arunman+    1213  0.0  2.4 572348 97084 ?        Sl   19:46   0:00 /usr/bin/kwalletd6 --pam-login 13 14
arunman+    1217  0.0  0.9 230224 37504 tty1     Ssl+ 19:46   0:00 /usr/bin/startplasma-wayland
arunman+    1257  0.0  0.4 151584 17024 ?        Ssl  19:46   0:00 /usr/bin/kwin_wayland_wrapper --xwayland
arunman+    1266 11.4  5.6 1699604 222448 ?      Sl   19:46   2:35 /usr/bin/kwin_wayland --wayland-fd 7 --socket wayland-0 --xwayland-fd 8 --xwaylan
arunman+    1274  0.0  0.7 268678832 30336 ?     SNsl 19:46   0:00 /usr/lib/x86_64-linux-gnu/libexec/kf6/baloo_file
